"V1","V2"
-122.461040000424,37.7509579995684
-122.460551999873,37.7499389998149
-122.460403000364,37.7497569996258
-122.459639000242,37.7490189997588
-122.45962599957,37.7489420004166
-122.459497000024,37.7489179999252
-122.458853999871,37.7482590000026
-122.458661999981,37.748037999791
-122.458634999954,37.747768999906
-122.4587120005,37.7476050003862
-122.459016999852,37.7473059998091
-122.459173999474,37.7472859995719
-122.459030000071,37.7472589999628
-122.458690999778,37.7468589998686
-122.458729000172,37.7467549999093
-122.458657000432,37.7468230003037
-122.458471999956,37.746870999602
-122.457912000503,37.7468610000929
-122.45724800013,37.7467540002039
-122.457167000023,37.7466980003223
-122.457078999809,37.7467249999931
-122.456673999719,37.7466600003027
-122.45637700035,37.7465899996757
-122.456314999508,37.746529999568
-122.456223999732,37.7465580000945
-122.455839000344,37.7464659999679
-122.455533999566,37.7463940004393
-122.455466999903,37.7463279995571
-122.455374999591,37.7463479995997
-122.454815000489,37.7462169999756
-122.454721999574,37.7461780000384
-122.454663999876,37.7461060004448
-122.454585000144,37.746106999911
-122.454275000204,37.7459079996184
-122.453958999838,37.7457650003466
-122.453915999806,37.745700000259
-122.453829000101,37.7457239996533
-122.453644999734,37.7456960003153
-122.453375999882,37.7456880002847
-122.452228000387,37.7456920004336
-122.451816000437,37.7456709999014
-122.451690999942,37.745605999973
-122.451624000111,37.7455340001953
-122.451588999461,37.745429000071
-122.450587000139,37.744212999687
-122.450591999567,37.7440909996647
-122.449919000043,37.7432719997774
-122.449861000431,37.7432649998906
-122.449790000263,37.7432570002391
-122.449583000184,37.7430650002232
-122.449357000203,37.7429220003301
-122.449136999833,37.7428290000495
-122.448820999994,37.7427490002716
-122.448488999599,37.7427049997393
-122.447384999462,37.7426089998013
-122.44711000039,37.7425799996803
-122.446839999952,37.7425190002523
-122.446657999758,37.7424419997223
-122.446516000075,37.7423590001713
-122.44641100005,37.7422819997891
-122.44637099996,37.7422380001791
-122.446324000184,37.7421850002563
-122.446257000472,37.7420719997695
-122.446239000292,37.7420129998984
-122.446195000369,37.7418719995596
-122.44615700046,37.7415350002184
-122.446099999977,37.7413579996235
-122.446058999594,37.7412749995764
-122.445963999993,37.7411989998397
-122.445897999674,37.7411170002072
-122.445737999794,37.7410219997627
-122.445522999856,37.740971999804
-122.445196000266,37.7409209996654
-122.444910999665,37.7408720000693
-122.444682000078,37.7407930001531
-122.444517999474,37.7406930001146
-122.444365999493,37.7405760002405
-122.444133000102,37.7402789997484
-122.444098000354,37.7402340003405
-122.443922000159,37.7400879996532
-122.443876000477,37.7400640000127
-122.443693999535,37.7399710000492
-122.44341899962,37.7399020004317
-122.44302,37.7398139995591
-122.442857000342,37.739766999969
-122.442718000385,37.7396819998458
-122.44259699984,37.7395479995844
-122.442578000153,37.7395210002264
-122.442524999536,37.7394480003991
-122.44250399986,37.7392380001206
-122.44262800002,37.7385650000303
-122.442625000545,37.738313999925
-122.442578999891,37.7381720002805
-122.442445999948,37.7377999996426
-122.442403999546,37.7376400004521
-122.442420999442,37.7374380002136
-122.442489000143,37.7372890003099
-122.442656999888,37.7371189995828
-122.443532000144,37.7366019997953
-122.443602000105,37.7365029996793
-122.44365499953,37.736428000288
-122.443746000217,37.7363550001435
-122.443800999966,37.7362389996523
-122.443828999813,37.7361339997588
-122.443823999535,37.7360089998939
-122.443791999996,37.7359219996317
-122.443745999446,37.7358560000445
-122.443666000196,37.7357860001908
-122.443565999847,37.7357289996847
-122.443453000492,37.7356919999764
-122.443301000502,37.7356760003657
-122.443161999869,37.7356880000179
-122.442428999661,37.7358940002141
-122.44215500047,37.7359710001107
-122.442028999675,37.7359909997204
-122.441926999648,37.73596799988
-122.441866999619,37.7359769997849
-122.441697999836,37.7359509997775
-122.441383999582,37.7358600004148
-122.441152000403,37.7357090000747
-122.441015000549,37.7355699995771
-122.440693999484,37.7350690001816
-122.440024000232,37.7349090001008
-122.439934000286,37.7348570004442
-122.439572999707,37.7348429996349
-122.439190999531,37.7347350001602
-122.438920000275,37.7345999997411
-122.438629000104,37.7344940003595
-122.43839199968,37.7344200003628
-122.437514000064,37.7342459999333
-122.436752000045,37.7340960001332
-122.436672999491,37.7340399996238
-122.436579999458,37.734068000025
-122.43592000012,37.7339310001772
